id,drug_id,description
3530,686,Take on an empty stomach. Take at least 1 hour before or 2 hours after meals.
3299,687,Limit salt intake. Excessive intake of salt can result in hypertension and edema.
5482,688,"Avoid multivalent ions. Take multivalent ions such as calcium, iron, or magnesium at least 2 hours after taking this medication."
3620,688,Take on an empty stomach. Take at least 1 hour before or 2 hours after meals.
2108,690,Avoid alcohol.
4616,690,Take with or without food. The absorption is unaffected by food.
1320,691,"Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice)."
2918,691,Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.
3326,691,Limit salt intake. Salt may attenuate the antihypertensive effect.
5366,691,Take separate from meals. Take 1 hour before meals.
2228,695,Avoid excessive or chronic alcohol consumption. Alcohol increases the risk of orthostatic hypotension.
6183,695,"Avoid natural licorice. Avoid licorice in large amounts, as it may lead to hypokalemia."
356,695,Increase consumption of potassium-rich foods. This medication may cause potassium depletion. Foods containing potassium include bananas and orange juice.
4577,696,Take with or without food. The absorption is unaffected by food.
5790,697,Avoid alcohol.
5787,697,"Take with or without food. Maintain the same schedule with regard to meals, as concentrations increase in the fasted state and decrease in the fed state."
3803,698,Take with food. Food decreases irritation and increases bioavailability.
6309,700,Avoid grapefruit products. Grapefruit juice may increase the serum levels of eplerenone by 25% by inhibiting CYP3A4.
6306,700,Take with or without food.
2030,701,Avoid alcohol. Drug impairs alcohol metabolism.
1829,701,Avoid fatty foods.
4460,701,Take with or without food.
1871,703,Drink plenty of fluids.
4118,703,Take with food.
4826,704,Take with or without food. The absorption is unaffected by food.
4661,705,Take with or without food. The absorption is unaffected by food.
5348,706,Take after a meal. Take 30 minutes after the same meal each day to reduce plasma level variations.
6312,708,Avoid alcohol. Ingesting alcohol may potentiate the CNS depressant effects of sufentanil.
6315,708,"Avoid grapefruit products. Sufentanil is a CYP3A4 substrate; therefore, concomitant ingestion of CYP3A4 inhibitors like grapefruit products may increase serum levels of sufentanil and potentiate CNS depression."
5063,709,"Take with or without food. Food delays drug absorption, but not to a clinically significant extent."
5369,710,Take on an empty stomach.
5372,710,Take with a full glass of water. Do not take this medication with other liquids.
10315,711,Take after a meal.
2111,712,Avoid alcohol.
3851,712,Take with food. Food reduces irritation.
6318,714,Avoid alcohol. Ingesting alcohol may potentiate hypotension caused by apomorphine.
2615,715,Avoid alcohol.
1772,715,Take with or without food. Food does not significantly affect absorption.
4856,717,"Take with or without food. Co-administration with food slightly alters pharmacokinetics, but not to a clinically significant extent."
4805,718,Take with or without food. The absorption is unaffected by food.
2309,719,Avoid alcohol.
3950,719,Take with food. Food reduces irritation.
3503,720,Take on an empty stomach. Co-administration with food may decrease absorption.
399,722,"Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice)."
2915,722,Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.
3323,722,Limit salt intake. Salt may attenuate the antihypertensive effect.
4727,722,Take with or without food. The absorption is unaffected by food.
6321,724,Take with or without food.
6324,726,Avoid alcohol. Ingesting alcohol may increase the risk of adverse effects of trimipramine such as sedation and orthostatic hypotension.
2069,727,Avoid alcohol.
5384,731,Take with food. Take up to 30 minutes before meals.
6228,734,Take with or without food. Food does not affect the rate or extent of absorption.
4733,736,"Take with or without food. Co-administration with food slightly alters pharmacokinetics, but not to a clinically significant extent."
2282,737,Avoid alcohol. Alcohol may cause additive CNS depressant effects.
3524,740,Take on an empty stomach. Take at least 1 hour before or 2 hours after meals.
5973,741,Avoid alcohol.
10330,744,Avoid excessive or chronic alcohol consumption.
10325,744,"Exercise caution with grapefruit products. Zileuton is partially metabolized through CYP3A4. Therefore grapefruit, a CYP3A4 inhibitor, may reduce the metabolism of zileuton."
10320,744,Exercise caution with St. John's Wort. Zileuton is partially metabolized through CYP3A4. Therefore St. John's Wort may increase the metabolism of zileuton.
9888,744,"Take with food. The AUC and Cmin of zileuton extended-release tablets are increased by food, and therefore should be taken with meals."
9883,744,Take with or without food. ZYFLO (zileuton) regular release tablets can be taken with or without food.
4802,745,Take with or without food. The absorption is unaffected by food.
9793,747,Avoid grapefruit products. Coadministration of scopolamine with grapefruit juice has been shown to delay scopolamine absorption and increase its bioavailability without altering its elimination.
6330,748,Avoid alcohol. Ingesting alcohol may increase drowsiness caused by carbinoxamine.
6327,748,Take on an empty stomach.
2063,749,Avoid alcohol.
3848,749,Take with food. Food reduces irritation.
6333,750,"Take separate from meals. This is only required when prilocaine is used in the mouth, as it may cause numbness, which can cause bite injury when eating."
2189,752,Avoid alcohol. Ingesting alcohol may increase the CNS depressant effects of tranylcypromine.
2939,752,Avoid St. John's Wort. Administering tranylcypromine with St. John's Wort may increase the risk of serotonin syndrome.
588,752,"Avoid tyramine-containing foods and supplements. Tyramine-containing foods and beverages can cause a sudden elevation in blood pressure or a hypertensive crisis. Foods that contain tyramine include aged cheese, ripe bananas, red wine, some alcoholic beverages (beer), cured food, pickled food, and fava beans."
6336,754,Take after a meal. This may reduce gastrointestinal upset.
6339,755,Take with food. Tretinoin absorption may be increased by co-administration with food.
4685,757,Take with or without food. The absorption is unaffected by food.
5916,758,Take with or without food.
5150,759,Avoid milk and dairy products.
3632,759,Take on an empty stomach. Take at least 1 hour before or 2 hours after meals.
3683,759,Take with a full glass of water.
5396,761,Take with a full glass of water.
8216,761,Take with food. This reduces gastrointestinal irritation.
6342,765,Avoid alcohol. Ingesting alcohol may increase the sedative and CNS depressant effects of metyrosine.
5799,766,Take with food. Take at the beginning of a meal to reduce gastric irritation.
6348,771,Avoid alcohol. Ingesting alcohol may increase the CNS depressant effects of the combination product Chlordiazepoxide HCl and Clidinium Bromide.
6345,771,Take before a meal.
2783,773,"Avoid grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of etoposide."
8972,773,"Exercise caution with St. John's Wort. This herb induces CYP3A4 metabolism, which may reduce serum levels of etoposide."
6135,774,Increase consumption of potassium-rich foods. This medication may cause a loss of potassium.
2567,776,Avoid alcohol. Oxcarbazepine has CNS depressant properties that may be potentiated by co-administration with alcohol.
1760,776,Take with or without food. Co-administration with food does not significantly affect absorption.
1654,779,Drink plenty of fluids.
1151,779,Take with food. Food reduces irritation.
8258,780,Avoid alcohol.
8261,780,Avoid St. John's Wort. Administering phenelzine with St. John's Wort may increase the risk of serotonin syndrome.
8252,780,"Avoid tyramine-containing foods and supplements. Tyramine-containing foods and beverages can cause a sudden elevation in blood pressure or a hypertensive crisis. Foods that contain tyramine include aged cheese, ripe bananas, red wine, some alcoholic beverages (beer), cured food, pickled food, and fava beans."
8255,780,Limit caffeine intake. Excess caffeine intake can also cause a hypertensive crisis.
6351,782,Take before a meal. Take before a meal. Propantheline bromide should be taken 15 to 30 minutes before meals.
2045,784,Avoid alcohol.
4139,784,Take with food.
3017,787,Drink plenty of fluids. Dehydration with acyclovir predisposes patients to nephrotoxicity.
4793,787,Take with or without food. The absorption is unaffected by food.
4205,788,Take with food. Food reduces GI irritation.
1328,790,"Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice)."
2921,790,Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.
3329,790,Limit salt intake. Salt may attenuate the antihypertensive effect.
5048,790,Take with or without food. The absorption is unaffected by food.
2513,794,Avoid alcohol.
5994,794,Avoid St. John's Wort.
5467,795,Drink plenty of fluids. Inadequate fluid intake is associated with crystalluria and stone formation.
4055,795,Take with food.
3428,796,Take at the same time every day.
4946,796,Take with or without food. The absorption is unaffected by food.
6354,800,Take on an empty stomach. Orally administered fenoldopam should be taken in a fasted state for optimal absorption.
2162,804,Avoid alcohol. Alcohol may increase drowsiness caused by dicyclomine.
5931,804,"Drink plenty of fluids. Dicyclomine may reduce sweating, increasing the risk of overheating in warm weather or during exercise."
3224,806,Limit caffeine intake.
1210,806,"Take with food. Administration with food may reduce irritation. Co-administration with food modestly increases the mean pentoxifylline AUC and maximum plasma concentrations (1.1- and 1.3-fold, respectively) achieved with an extended-release tablet."
8501,808,Avoid alcohol. Alcohol may potentiate orthostatic hypotension.
8504,808,Increase consumption of potassium-rich foods. Indapamide my cause potassium depletion leading to hypokalemia.
8507,808,Take with or without food.
2357,810,Avoid alcohol.
4187,810,Take with food.
6360,811,Avoid alcohol. Ribavirin is used to treat chronic hepatitis C infection; ingesting alcohol may worsen this infection.
6357,811,Take with food. Taking ribavirin with a high-fat meal slows the absorption and increases the AUC and Cmax of ribavirin.
2270,812,Avoid alcohol.
1283,812,Take with food. Food reduces irritation.
2246,813,Avoid alcohol.
5811,814,Avoid alcohol. The risk of gastrointestinal bleeding may be increased.
4736,814,Take with or without food. The absorption is unaffected by food.
6363,815,"Take after a meal. When Sodium lauryl sulfate is formulated in paste form for oral health, it should be used after meals."
3209,816,Limit caffeine intake.
4889,816,Take with or without food. The absorption is unaffected by food.
3014,819,Drink plenty of fluids.
4052,819,Take with food. Take at least 6 hours before bedtime.
6369,820,Avoid excessive or chronic alcohol consumption. Ingesting excess amounts of alcohol (more than four drinks in a short time) may potentiate the hypotension and dizziness caused by tadalafil.
6372,820,"Avoid grapefruit products. Tadalafil is metabolized by CYP3A4, and grapefruit products are CYP3A4 inhibitors; therefore, coadministration may increase serum levels of tadalafil and result in increased hypotension."
6366,820,Take with or without food.
2021,822,Avoid alcohol. Avoid alcohol for up to 14 days after discontinuation.
5039,822,Take with or without food. The absorption is unaffected by food.
4622,828,Take with or without food. The absorption is unaffected by food.
2156,829,Avoid alcohol.
6147,829,Take on an empty stomach. Food may decrease absorption and time to therapeutic effect.
6375,831,Avoid excessive or chronic alcohol consumption. Ingesting alcohol may potentiate the sedative and CNS depressant effects of trifluoperazine.
5333,833,Take with or without food.
6381,834,Avoid grapefruit products. Grapefruit inhibits the metabolism of mifepristone through the CYP3A4 pathway causing increased serum levels of mifepristone.
6378,834,Take with food. Taking mifepristone with meals has been shown to increase serum levels of mifepristone.
2381,835,Avoid alcohol.
4190,835,Take with food.
1901,836,Drink plenty of fluids.
4514,836,Take with or without food.
6387,839,Avoid excessive or chronic alcohol consumption. Ingesting alcohol may increase the risk of hypoglycemia.
6384,839,Take with food. Taking tolazamide with breakfast may help reduce the risk of hypoglycemia.
2495,842,Avoid alcohol. Co-administration with alcohol may potentiate the CNS effects of oxazepam.
2195,843,Avoid alcohol.
4691,843,Take with or without food. The absorption is unaffected by food.
6390,844,Avoid alcohol. Ingesting alcohol may increase the sedative and CNS depressant effects of nalbuphine.
8288,845,Take with food. Prescribing information for clofazimine recommends its administration with a meal.
9676,847,Take on an empty stomach. The delayed-release capsules should be taken at least 30 minutes before or 2 hours after a high-fat meal to ensure adequate exposure.
9681,847,Take with or without food. The immediate release preparation can be taken with or without food.
3563,848,Take on an empty stomach.
2519,850,Avoid alcohol. Consuming alcohol may increase hypotension. Perphenazine may increase the effects of alcohol.
6393,851,Take on an empty stomach. Fasting for four to six hours before treatment may be beneficial to reduce nausea and vomiting associated with Dacarbazine therapy.
5006,852,Take with or without food. The absorption is unaffected by food.
6399,853,Take at the same time every day.
6396,853,Take on an empty stomach. Food reduces the absorption of temozolomide and taking it on an empty stomach may reduce temozolomide associated nausea and vomiting.
2441,854,Avoid alcohol.
1724,854,Take with or without food. Food does not significantly affect absorption.
9592,857,"Limit caffeine intake. Terbinafine may reduce the metabolism of caffeine by approximately 19%, monitor for increased effects of caffeine."
5961,857,Take with or without food.
3002,859,Drink plenty of fluids.
3506,859,Take on an empty stomach. Co-administration with food decreases bioavailability.
2096,860,Avoid alcohol.
3866,860,Take with food. Food reduces irritation.
2630,861,Avoid alcohol.
3872,861,Take with food. Food reduces irritation.
6405,862,"Avoid grapefruit products. Vardenafil is metabolized by CYP3A4, and grapefruit products are CYP3A4 inhibitors; therefore, coadministration may increase serum levels of vardenafil and result in increased hypotension. ."
6402,862,Take with or without food.
5027,863,Take with or without food. The absorption is unaffected by food.
8756,864,Avoid alcohol. Consuming alcohol may increase the rate of tacrolimus release from extended-release formulations.
8753,864,Avoid grapefruit products.
8759,864,"Exercise caution with St. John's Wort. This herb induces the CYP3A4 metabolism of tacrolimus; therefore, monitoring tacrolimus whole blood trough concentrations may be warranted."
8750,864,Take at the same time every day.
3515,864,Take on an empty stomach. Take at least 1 hour before or 2 hours after a meal as coadministration with food decreases the rate and extent of absorption.
8762,864,"Take separate from antacids. Coadministration of tacrolimus with aluminum or magnesium hydroxide antacids may increase the serum levels of tacrolimus, which poses a risk for toxicity."
8522,865,Limit caffeine intake. Excess caffeine intake may increase the CNS stimulation caused by benzphetamine hydrochloride.
4925,868,Take with or without food. The absorption is unaffected by food.
3689,874,Take with a full glass of water.
4907,874,Take with or without food. The absorption is unaffected by food.
2105,875,Avoid alcohol. Flupentixol can enhance the sedative effects of alcohol.
3896,875,Take with or without food. Food has negligible effects on drug pharmacokinetics.
4721,876,Take with or without food. The absorption is unaffected by food.
6411,877,Avoid grapefruit products. Grapefruit inhibits the CYP3A4 metabolism of sirolimus and increases its serum concentration.
8747,877,Exercise caution with St. John's Wort. This herb induces CYP3A4 and P-gp; thus it may reduce sirolimus serum concentrations.
6408,877,Take with or without food. Take consistently with regard to food.
5512,878,Take separate from meals. May affect the taste of food and beverages. Avoid eating or drinking for 30 minutes following use.
4712,879,Take with or without food. The absorption is unaffected by food.
2711,881,Avoid fatty foods.
1325,881,"Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice)."
2924,881,Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.
3332,881,Limit salt intake. Salt may attenuate the antihypertensive effect.
4619,882,Take with or without food. The absorption is unaffected by food.
5057,883,Take with or without food. Food decreases drug absorption.
5565,884,Administer vitamin supplements. Patients may require supplemental vitamin D.
5568,884,"Avoid multivalent ions. Calcium, antacids, and divalent ions may interfere with the absorption of this medication."
5562,884,Take on an empty stomach.
5559,884,Take with a full glass of water.
3971,887,Take with food. Food reduces irritation.
4901,889,Take with or without food. The absorption is unaffected by food.
6414,897,"Avoid alcohol. Ingesting alcohol may increase the risk of complex behaviors like sleep-driving, which the patient does not remember."
6417,897,"Avoid grapefruit products. Grapefruit may reduce the CYP3A4 metabolism of triazolam, which increases the serum concentration of triazolam."
6420,899,Avoid alcohol. Ingesting alcohol may increase the sedative and CNS depressant effects of remifentanil.
2168,900,Avoid alcohol.
3629,900,Take on an empty stomach. Take at least 1 hour before or 2 hours after meals.
3914,903,Take with food. Food reduces irritation.
4886,904,Take with or without food. The absorption is unaffected by food.
6426,906,Avoid alcohol. Ingesting alcohol may increase drowsiness and dizziness.
6423,906,Take with food.
8741,908,"Exercise caution with grapefruit products. Grapefruit may delay the absorption of quinidine, and inhibit its metabolism through CYP3A4."
8744,908,Exercise caution with St. John's Wort.
8738,908,Take separate from antacids. Antacids may reduce the absorption of quinidine.
8735,908,Take with or without food. Taking quinidine with food may slow its absorption.
6432,909,Avoid alcohol. Ingesting alcohol may increase drowsiness and dizziness.
6429,909,Take with or without food.
8528,910,Avoid antacids. Avoid taking aluminum-containing antacids chronically with paricalcitol as there is an increased risk of aluminum toxicity.
8525,910,"Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4, and paricalcitol metabolism is mediated partially through CYP3A4; therefore, grapefruit may increase paricalcitol serum levels."
6435,910,Take with or without food.
6441,911,"Avoid alcohol. Avoid concomitant use of alcohol with tinidazole as it may cause flushing, nausea, vomiting, and headaches."
6438,911,Take with food. Administering with food may reduce gastrointestinal upset and epigastric discomfort caused by tinidazole but does not affect bioavailability.
5119,912,Take before a meal. Repaglinide should be taken before each meal of the day.
4859,913,Take with or without food. The absorption is unaffected by food.
2627,915,Avoid alcohol.
5033,915,Take with or without food. The absorption is unaffected by food.
2363,916,"Avoid alcohol. Unpleasant symptoms such as nausea, vomiting, and abdominal distress may occur with alcohol."
3968,916,"Take with or without food. The extended release formulation should, however, be taken without food."
4751,918,Take with or without food. The absorption is unaffected by food.
4694,920,Take with or without food. The co-administration of food does not significantly affect ketotifen disposition.
6447,921,Avoid alcohol. Ingesting alcohol may increase the sedative and CNS depressant effects of buprenorphine.
6450,921,"Avoid grapefruit products. Grapefruit inhibits the metabolism of buprenorphine through CYP3A4, which increases the serum levels buprenorphine."
6444,921,"Take separate from meals. When buprenorphine is formulated as a sublingual tablet or buccal film, avoid eating or drinking until the dosage form is completely dissolved."
2576,924,Avoid alcohol. Cyclobenzaprine is a central nervous system depressant which may be potentiated by the co-administration of alcohol.
631,926,Avoid alcohol. Alcohol should be completely avoided for up to 2 months after discontinuation.
3770,926,Take with food. Food increases absorption.
2072,927,Avoid excessive or chronic alcohol consumption. Alcohol increases the risk of gastric irritation.
3164,927,Limit caffeine intake. Caffeine and other acidic beverages increases the risk of gastric irritation.
4556,927,"Take with or without food. Food slightly increases bioavailability, but not to a clinically significant extent."
3824,929,Take with food. Food decreases incidence of diarrhea.
3011,930,Drink plenty of fluids.
4214,930,Take with food.
6453,932,"Take with or without food. However, if taken with ritonavir tablets, tipranavir should be taken with food."
3926,933,Take with food. Food reduces irritation.
3236,934,Limit caffeine intake.
4517,934,Take with or without food.
4673,937,Take with or without food. The absorption is unaffected by food.
6459,939,Avoid excessive or chronic alcohol consumption. Ingesting alcohol may increase the risk of developing a gastrointestinal bleed.
6456,939,Take with or without food. Taking meclofenamic acid with food reduces the rate and extent of its absorption; however it also reduces gastrointestinal upset caused by meclofenamic acid.
5485,943,Avoid multivalent ions. Magnesium and aluminum containing products can reduce the absorption of this medication.
3641,943,Take on an empty stomach. Take at least 1 hour before or 2 hours after meals.
5826,945,Avoid alcohol. Alcohol increases the risk of gastrointestinal bleeding.
9412,945,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
5823,945,Take after a meal. This reduces irritating gastrointestinal effects.
3671,945,Take with a full glass of water.
8726,946,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
8729,946,Ensure consistent Vitamin K intake. Changes in vitamin K intake may impact coagulation.
8720,946,Exercise caution with grapefruit products.
8723,946,Exercise caution with St. John's Wort.
5470,949,Avoid alcohol.
2786,950,"Avoid fruit juice. Fruit juices like grapefruit, orange, and apple may reduce bioavailability and overall exposure to the medication."
4610,950,Take with or without food. Co-administration with food does not significantly affect absorption.
1946,951,Administer vitamin supplements. Vitamin B6 (pyridoxine) should be given with isoniazid to prevent deficiency.
755,951,"Avoid alcohol. Avoid drinking alcoholic beverages such as unpasteurized beer; unless approved by your physician, as they may contain tyramine. Consuming alcohol may also increase the risk of isoniazid induced hepatitis and neuropathy."
1591,951,"Avoid chocolate. Chocolate contains caffeine, which should be limited during isoniazid therapy."
1606,951,"Avoid histamine-containing foods and supplements. Histamine-containing foods (e.g., skipjack, tuna, other tropical fish) can cause headaches, sweating, palpitations, flushing, and hypotension."
1609,951,"Avoid tyramine-containing foods and supplements. Tyramine-containing foods include cheese, red wine, fava beans, pickled food, cured food, and alcoholic beverages."
8264,951,Limit caffeine intake.
3659,951,Take on an empty stomach. Take at least 1 hour before or 2 hours after meals.
3401,951,Take separate from antacids. Taking this medication with antacids can reduce absorption.
4922,952,Take with or without food. The absorption is unaffected by food.
6462,953,"Take with or without food. However, the onset of action may be delayed by approximately 1 hour when taken with food."
2147,956,"Avoid alcohol. Profound CNS depression, including sedation, respiratory depression, coma, and death may occur."
4091,956,Take with or without food. Cmax and AUC are not altered by food in a clinically significant way.
3437,957,Take at the same time every day.
4079,957,Take with or without food.
2693,958,Avoid echinacea. Co-administration may decrease effectiveness of immunosuppressants.
5982,959,Avoid alcohol.
5985,959,Take with food. Food reduces GI irritation.
2039,960,Avoid alcohol. Alcohol may aggravate signs and symptoms of overdose.
1790,960,Take with or without food. Food does not significantly affect absorption.
6468,962,Avoid alcohol. Ingesting alcohol may increase the CNS depressant effects of zaleplon.
6465,962,Do not take with or immediately after a high-fat meal. The effects of zaleplon are reduced when taken with a high-fat meal.
6471,966,Take with or without food. Bioavailability may be slightly reduced by taking telmisartan with food.
4664,967,Take with or without food. The absorption is unaffected by food.
9909,968,Take with or without food. Drug pharmacokinetics is unaffected.
4757,969,Take with or without food. The absorption is unaffected by food.
8519,972,Avoid alcohol. Ingesting alcohol may cause additive CNS depressant effects.
4742,973,Take with or without food. Co-administration with food does not affect absorption.
9597,974,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
9437,975,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
5180,975,"Avoid xanthines. Xanthines, found in coffee and tea, can reduce the effectiveness of this medication."
4013,975,Take with or without food. Taking dipyridamole extrended release capusels with a high-fat meal minimally reduces it's AUC and Cmax.
4595,976,Take with or without food. The absorption is unaffected by food.
5550,977,Avoid St. John's Wort. St. John's Wort may decrease the effectiveness of ethinylestradiol.
6477,978,"Avoid multivalent ions. Separate the administration polyvalent ions, including magnesium and aluminum-containing antacids, from lomefloxacin by at least 4 hours before and 2 hours after lomefloxacin dosing."
6474,978,Take with or without food. The rate and extent of absorption may be reduced when lomefloxacin is taken with food.
2612,980,Avoid alcohol.
1262,980,Do not take with or immediately after a high-fat meal.
2267,982,Avoid alcohol. Alcohol with isotretinoin can lead to inflammation of the liver.
5393,982,Avoid vitamin A supplements.
4289,982,Take with food. High-fat food increases drug absorption.
2183,985,Avoid alcohol.
4898,986,Take with or without food. The absorption is unaffected by food.
6480,989,Take with food. Administering rivastigmine capsules with food delays absorption but increases the AUC.
3761,990,Take with food. The manufacturer recommends administration following a meal.
4049,991,Take with food. Take once daily after breakfast. Food decreases the rate but not the extent of absorption.
3953,993,Take with food. Food reduces irritation.
3947,995,Take with food. Food reduces irritation.
2129,996,Avoid alcohol. Gabapentin possesses CNS depressant activity that may be potentiated by co-administration with alcohol.
4634,996,"Take with or without food. Co-administration with food slightly alters pharmacokinetics, but not to a clinically significant extent."
8912,997,"Avoid St. John's Wort. This herb induces CYP3A4 metabolism, which may reduce the serum concentration of doxorubicin."
8917,997,"Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of doxorubicin."
4631,998,"Take with or without food. Food does not affect bioavailability, but delays maximum concentrations by one hour."
2240,999,Avoid alcohol. Alcohol may potentiate orthostatic hypotension.
3347,999,"Avoid multivalent ions. Take this medication 2 hours before or after the administration of antacids, calcium supplements, or iron supplements to avoid decreased absorption of hydrochlorothiazide."
2873,999,Avoid natural licorice. Licorice potentiates the hypokalemic effect of hydrochlorothiazide.
368,999,Increase consumption of potassium-rich foods. This medication may cause potassium depletion. Foods containing potassium include bananas and orange juice.
3305,999,"Limit salt intake. Avoid excessive salt, unless recommended by a physician."
4145,999,Take with or without food.
6483,1003,Take before a meal. Take cromolyn sodium 30 minutes before meals.
4034,1004,Take with food. Food increases bioavailability.
1883,1005,Drink plenty of fluids.
4502,1005,Take with or without food.
1555,1006,Take with or without food. Food slows absorption without decreasing the quantity absorbed.
2999,1008,Drink plenty of fluids.
8690,1008,Exercise caution with grapefruit products.
8693,1008,Exercise caution with St. John's Wort.
8687,1008,Take at the same time every day.
2093,1009,Avoid alcohol.
3854,1009,Take with food. Food reduces irritation.
6486,1011,Take with food. Take metyrapone with milk or a snack according to the specific instructions for a single or multi-dose test.
5273,1012,Take with food. Food markedly increases product bioavailability.
6489,1014,Take with or without food.
2237,1016,Avoid alcohol. Alcohol increases the risk of hypoglycemia.
3470,1016,Take before a meal. Take 30-60 minutes before breakfast.
1564,1017,"Avoid multivalent ions. Separate administration of aluminium, calcium, iron and magnesium containing products from medication by at least 2 hours."
4457,1017,Take with or without food.
6003,1018,Avoid alcohol.
6000,1018,Do not take with or immediately after a high-fat meal. High fat meals increase drug exposure.
3605,1019,Take on an empty stomach. Nausea and vomiting may occur if taken after food.
4682,1020,Take with or without food. The absorption is unaffected by food.
2831,1023,Avoid grapefruit products.
4601,1023,Take with or without food. The absorption is unaffected by food.
6492,1024,Take on an empty stomach. Take mycophenolic acid at least 1 hour before or 2 hours after eating.
2276,1026,Avoid alcohol. Drinking alcohol while on ketoconazole treatment may cause liver injury.
390,1026,Avoid multivalent ions. They may decrease ketoconazole concentrations.
4160,1026,Take with food. Food decreases gastrointestinal irritation caused by ketoconazole.
6495,1028,Avoid alcohol. Ingesting alcohol may increase the CNS depressant effects of methoxyflurane.
4676,1029,Take with or without food. The absorption is unaffected by food.
6498,1030,Take with or without food.
2372,1032,Avoid alcohol.
1706,1032,Drink plenty of fluids.
3980,1032,Take with food. Food reduces irritation.
1853,1033,Drink plenty of fluids.
3557,1033,Take on an empty stomach.
2534,1035,Avoid alcohol.
3986,1035,Take with food. Food reduces irritation.
4112,1036,Take with food.
5125,1037,"Avoid tyramine-containing foods and supplements. Consuming foods containing tyramine such as yogurt, aged cheese, ripe bananas, wine, and sourdough bread may increase the risk of having an uncontrolled hypertensive reaction."
8246,1037,Take before a meal. Take selegiline oral disintegrating tablets before breakfast and at least 5 minutes before or after any food or drink. Taking selegiline with food reduces the AUC by approximately 60%.
8249,1037,Take with food. Take selegiline capsules or tablets with breakfast and lunch. Food can increase the exposure to selegiline by 3-4 fold.
3767,1039,Take with food. Bioavailability is increased 2- to 3-fold when taken with food.
6504,1041,Avoid alcohol. Ingesting alcohol may increase the drowsiness caused by thalidomide.
6501,1041,Take after a meal. Wait at least 1 hour after eating before taking thalidomide.
1657,1042,Drink plenty of fluids.
1123,1042,Take on an empty stomach. Food decreases absorption and decreases bioavailabilty by approximately 30%.
5829,1043,Take with a full glass of water.
4745,1043,Take with or without food. The absorption is unaffected by food.
2996,1044,Drink plenty of fluids.
4637,1044,Take with or without food. The absorption is unaffected by food.
2621,1045,Avoid alcohol.
3662,1045,Take on an empty stomach. Take at least 1 hour before or 2 hours after meals.
3716,1045,Take with a full glass of water.
6510,1046,Take with a full glass of water.
6507,1046,Take with food. Taking lubiprostone with food may reduce nausea.
1967,1048,Avoid alcohol. Alcohol increases the systemic exposure to the drug.
4763,1048,Take with or without food. The absorption is unaffected by food.
6513,1049,Take with or without food. Taking ergoloid mesylate with food may reduce gastrointestinal upset.
2516,1050,Avoid alcohol.
3857,1050,Take with food. Food reduces irritation.
9945,1054,Take with or without food.
2816,1058,Avoid grapefruit products.
4229,1058,Take with food.
1859,1059,Drink plenty of fluids.
3203,1059,Limit caffeine intake.
3560,1059,Take on an empty stomach.
4067,1060,Take with food.
2504,1062,Avoid alcohol.
5832,1062,Take with or without food.
6516,1065,Avoid alcohol. Ingesting alcohol may reduce the effects of melatonin.
6519,1065,Take after a meal. Administration of melatonin after eating slows the absorption and reduces the Cmax of melatonin.
3425,1066,"Avoid multivalent ions. Avoid antacids containing magnesium and aluminum hydroxides when possible, otherwise separate the administration of antacids and this drug by several hours."
2231,1067,Avoid excessive or chronic alcohol consumption. The risk of hypoglycemia is increased when alcohol is ingested.
3467,1067,Take before a meal. Take 30-60 minutes before breakfast.
2135,1068,Avoid alcohol.
3272,1068,Limit caffeine intake.
4643,1068,Take with or without food. The absorption is unaffected by food.
2291,1069,Avoid alcohol. Alcohol may increase the sedation caused by promethazine.
5270,1072,Take with food. Food increases product absorption and reduces pharmacokinetic variability.
5279,1073,"Take with or without food. Administration with food delays absorption, but not to a clinically significant extent."
2186,1075,Avoid alcohol.
4115,1075,Take before a meal. Take 30 minutes before a meal or 30 minutes before departure for motion sickness.
267,1076,Avoid grapefruit products. Grapefruit products may increase the risk for atorvastatin related adverse effects such as myopathy and rhabdomyolysis.
4385,1076,Take with or without food. Food decreases absorption but not to a clinically significant extent.
5465,1077,Avoid multivalent ions. Separate administration from multivalent ions by at least two hours.
