synonym,drug_id,score,language,coder,source
(+-)-Thalidomide,1041,good,english,,ChEBI
"(±)-N-(2,6-dioxo-3-piperidyl)phthalimide",1041,good,english,,
(±)-thalidomide,1041,good,english,,
"1,3-dioxo-2-(2,6-dioxopiperidin-3-yl)isoindoline",1041,good,english,,
"2,6-dioxo-3-phthalimidopiperidine",1041,good,english,,
3-Phthalimidoglutarimide,1041,good,english,,ChEBI
alpha-(N-Phthalimido)glutarimide,1041,good,english,,ChEBI
alpha-N-Phthalylglutaramide,1041,good,english,,ChEBI
"N-(2,6-dioxo-3-piperidyl)phthalimide",1041,good,english,,
N-Phthaloylglutamimide,1041,good,english,,
N-Phthalyl-glutaminsaeure-imid,1041,good,german,,ChEBI
N-Phthalylglutamic acid imide,1041,good,english,,
Talidomida,1041,good,spanish,,ChEBI
Thalidomide,1041,good,english,inn/jan/usan/usp,UNII
Thalidomidum,1041,good,latin,,ChEBI
α-(N-phthalimido)glutarimide,1041,good,english,,
α-N-phthalylglutaramide,1041,good,english,,
α-phthalimidoglutarimide,1041,good,english,,
3-(p-(Bis(2-chloroethyl)amino)phenyl)-L-alanine,1042,good,english,,ChEBI
3-p-(Di(2-chloroethyl)amino)-phenyl-L-alanine,1042,good,english,,ChEBI
4-(Bis(2-chloroethyl)amino)-L-phenylalanine,1042,good,english,,ChEBI
L-3-(p-(Bis(2-chloroethyl)amino)phenyl)alanine,1042,good,english,,ChEBI
L-PAM,1042,good,english,,
L-Phenylalanine mustard,1042,good,english,,
L-Sarcolysine,1042,good,english,,
Melfalano,1042,good,spanish,inn,ChemIDplus
Melphalan,1042,good,english,inn/jan/usan/usp,UNII
Melphalanum,1042,good,latin,inn,ChEBI
p-Bis(beta-chloroethyl)aminophenylalanine,1042,good,english,,
p-Di-(2-chloroethyl)amino-L-phenylalanine,1042,good,english,,ChEBI
p-L-Sarcolysin,1042,good,english,,ChEBI
p-N-Bis(2-chloroethyl)amino-L-phenylalanine,1042,good,english,,ChEBI
"p-N,N-bis(2-chloroethyl)amino-L-phenylalanine",1042,good,english,,
Phenylalanine mustard,1042,good,english,,
Phenylalanine nitrogen mustard,1042,good,english,,
"1-Amino-3,5-dimethyladamantane",1043,good,english,,ChEBI
"1,3-Dimethyl-5-adamantanamine",1043,good,english,,ChEBI
"3,5-Dimethyl-1-adamantanamine",1043,good,english,,ChEBI
"3,5-Dimethyl-1-aminoadamantane",1043,good,english,,ChEBI
"3,5-Dimethyltricyclo(3.3.1.1(3,7))decan-1-amine",1043,good,english,,ChEBI
Memantina,1043,good,spanish,inn,
Memantine,1043,good,english,inn,UNII
Memantinum,1043,good,latin,inn,
"1-Cyclopropyl-1,4-dihydro-6-fluoro-8-methoxy-7-(3-methyl-1-piperazinyl)-4-oxo-3-quinolinecarboxylic acid",1044,good,english,,ChEBI
1-cyclopropyl-6-fluoro- 8-methoxy-7-(3-methylpiperazin-1-yl)- 4-oxo-quinoline-3-carboxylic acid,1044,good,english,,ChEBI
Gatifloxacin,1044,good,english,inn,UNII
Gatifloxacin anhydrous,1044,good,english,,
Gatifloxacine,1044,good,french,inn,ChEBI
Gatifloxacino,1044,good,spanish,inn,ChEBI
Gatifloxacinum,1044,good,latin,inn,ChEBI
3-(((4-Methyl-1-piperazinyl)imino)methyl)rifamycin SV,1045,good,english,,ChEBI
RFP,1045,good,english,,ChEBI (DrugBank)
Rifampicin,1045,good,english,inn/jan,UNII
Rifampicina,1045,good,spanish,,ChEBI
Rifampicine,1045,good,french,,
Rifampicinum,1045,good,latin,,ChEBI
Rifampin,1045,good,english,usan,
Lubiprostone,1046,good,english,inn/jan/usan,UNII
Fluocinonida,1047,good,spanish,,
Fluocinonide,1047,good,english,inn/ban/jan/usan/usp,UNII
Fluocinonido,1047,good,spanish,inn,
Fluocinonidum,1047,good,latin,inn,
{(1S-cis)-4-[2-amino-6-(cyclopropylamino)-9H-purin-9-yl]cyclopent-2-en-1-yl}methanol,1048,good,english,,ChEBI
Abacavir,1048,good,english,inn/ban,UNII
ABC ,1048,good,english,,
co-dergocrine mesilate,1049,good,english,,
co-dergocrine mesylate,1049,good,english,,
co-dergocrine methanesulfonate,1049,good,english,,
codergocrine mesilate,1049,good,english,,
codergocrine mesylate,1049,good,english,,
codergocrine methanesulfonate,1049,good,english,,
Dihydroergotoxine Mesilate,1049,good,english,,ChEBI (KEGG COMPOUND)
Dihydroergotoxine Mesylate,1049,good,english,,ChEBI (KEGG COMPOUND)
Dihydroergotoxine Methanesulfonate,1049,good,english,,ChEBI (ChemIDplus)
dihydroergotoxine methanesulfonates,1049,good,english,,
dihydroergotoxine monomethanesulfonate,1049,good,english,,
dihydrogenated ergot alkaloids,1049,good,english,,
Ergoloid Mesilates,1049,good,english,,
Ergoloid Mesylates,1049,good,english,usan,ChEBI (ChEBI)
ergoloid methanesulfonate,1049,good,english,,
ergoloid methanesulfonates,1049,good,english,,
hydrogenated ergot alkaloids,1049,good,english,,
(±)-2-(p-isobutylphenyl)propionic acid,1050,good,english,,
(±)-ibuprofen,1050,good,english,,
(±)-p-isobutylhydratropic acid,1050,good,english,,
(±)-α-methyl-4-(2-methylpropyl)benzeneacetic acid,1050,good,english,,
(4-isobutylphenyl)-α-methylacetic acid,1050,good,english,,
(RS)-ibuprofen,1050,good,english,,
2-(4-isobutylphenyl)propanoic acid,1050,good,english,,
4-isobutylhydratropic acid,1050,good,english,,
Ibuprofen,1050,good,english,inn/usan/usp,UNII
Ibuprofene,1050,good,french,,
Ibuprofeno,1050,good,spanish,,
Ibuprofenum,1050,good,latin,,
Ibuprophen,1050,good,english,,
α-(4-isobutylphenyl)propionic acid,1050,good,english,,
α-(p-isobutylphenyl)propionic acid,1050,good,english,,
Albamycin,1051,good,english,,
N-{7-[(3-O-carbamoyl-6-deoxy-5-methyl-4-O-methyl-β-D-gulopyranosyl)oxy]-4-hydroxy-8-methyl-2-oxo-2H-chromen-3-yl}-4-hydroxy-3-(3-methylbut-2-en-1-yl)benzamide,1051,good,english,,ChEBI
Novobiocin,1051,good,english,inn,ChEBI
Novobiocina,1051,good,spanish,inn,
Novobiocine,1051,good,french,inn,
Novobiocinum,1051,good,latin,inn,
"(2S,5R,6R)-3,3-dimethyl-7-oxo-6-(phenylacetamido)-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",1053,good,english,,ChEBI
6-(2-phenylacetamido)penicillanic acid,1053,good,english,,
Bencilpenicilina,1053,good,spanish,inn,ChEBI
Bensylpenicillin,1053,good,english,,
Benzyl benicillin,1053,good,english,,
Benzylpenicillin,1053,good,english,inn,UNII
Benzylpénicilline,1053,good,french,,ChEBI
Benzylpenicillinic acid,1053,good,english,,ChEBI (ChemIDplus)
Benzylpenicillinum,1053,good,latin,inn,ChEBI
Free penicillin II,1053,good,english,,ChEBI
PCG,1053,good,english,,
Penicillin G,1053,good,english,,
PG,1053,good,english,,ChEBI
"1,4-dihydro-2,6-dimethyl-4-(3-nitrophenyl)-3,5-pyridinedicarboxylic acid ethyl methyl ester",1054,good,english,,ChEBI
Nitrendipine,1054,good,english,inn/jan/usan,UNII
Nitrendipino,1054,good,spanish,inn,
Nitrendipinum,1054,good,latin,inn,
(L)-Mimosine,1055,good,english,,
(S)-2-amino-3-(3-hydroxy-4-oxo-4H-pyridin-1-yl)propanoate,1055,good,english,,ChEBI
L-Mimosine,1055,good,english,,
Leucaenine,1055,good,english,,
Leucaenol,1055,good,english,,
Leucenine,1055,good,english,,
Leucenol,1055,good,english,,
Mimosin,1055,good,english,,
"2-Amino-2',6'-propionoxylidide",1056,good,english,,ChEBI
"2-amino-N-(2,6-dimethylphenyl)propanamide",1056,good,english,,ChEBI
"2-Amino-N-(2,6-dimethylphenyl)propionamid",1056,good,german,,ChEBI
"Alanyl-2,6-xylidide",1056,good,english,,ChEBI
Tocainida,1056,good,spanish,inn,ChEBI (ChemIDplus)
Tocainide,1056,good,english,inn/usan,UNII
Tocainidum,1056,good,latin,inn,ChEBI (ChemIDplus)
"2-(Diethoxyphosphorylsulfanyl)ethyl-N,N,N-trimethylazanium iodide",1057,good,english,iupac,ChEBI
Echothiophate,1057,good,english,,ChEBI
Ecothiopate,1057,good,english,inn,UNII
Ecothiopatum,1057,good,latin,inn,ChEBI
Phospholine,1057,good,english,,
Praziquantel,1058,good,english,inn/jan/usan/usp,UNII
"1-Ethyl-6-fluor-1,4-dihydro-4-oxo-7-(1-piperazinyl)-3-chinolincarbonsäure",1059,good,german,,ChEBI
"1-Ethyl-6-fluoro-1,4-dihydro-4-oxo-7-(1-piperazinyl)-3-quinolinecarboxylic acid",1059,good,english,,ChEBI
"1,4-Dihydro-1-ethyl-6-fluoro-4-oxo-7-(1-piperazinyl)-3-quinolinecarboxylic acid",1059,good,english,,ChEBI
NFLX,1059,good,english,,ChEBI
Norfloxacin,1059,good,english,inn/usan/usp,UNII
Norfloxacine,1059,good,french,inn,ChEBI
Norfloxacino,1059,good,spanish,inn,ChemIDplus
Norfloxacinum,1059,good,latin,inn,ChEBI
"(2S,5R,6R)-6-{[(2R)-2-amino-2-(4-hydroxyphenyl)acetyl]amino}-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",1060,good,english,,ChEBI
6-(p-hydroxy-α-aminophenylacetamido)penicillanic acid,1060,good,english,,
Amox,1060,good,english,,
Amoxicilina,1060,good,spanish,inn,ChEBI (ChemIDplus)
Amoxicillin,1060,good,english,inn,UNII
Amoxicillin (anhydrous),1060,good,english,,
Amoxicillin anhydrous,1060,good,english,,ChEBI (KEGG COMPOUND)
Amoxicilline,1060,good,french,inn,ChEBI (ChemIDplus)
Amoxicillinum,1060,good,latin,inn,ChEBI (ChemIDplus)
Amoxycillin,1060,good,english,ban,ChEBI (ChemIDplus)
AX,1060,good,english,,ChEBI
p-Hydroxyampicillin,1060,good,english,,ChEBI (ChemIDplus)
α-amino-p-hydroxybenzylpenicillin,1060,good,english,,
"(2S,5R,6R)-3,3-dimethyl-7-oxo-6-{[(2R)-2-{[(2-oxoimidazolidin-1-yl)carbonyl]amino}-2-phenylacetyl]amino}-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",1061,good,english,,ChEBI
Azlocilina,1061,good,spanish,inn,ChEBI (ChemIDplus)
Azlocillin,1061,good,english,inn/ban/usan,ChEBI (KEGG DRUG)
Azlocilline,1061,good,french,inn,ChEBI (ChemIDplus)
Azlocillinum,1061,good,latin,inn,ChEBI (ChemIDplus)
4-(Diethylamino)-2-butynyl alpha-phenylcyclohexaneglycolic acid ester,1062,good,english,,ChEBI
4-Diethylamino-2-butinyl alpha-cyclohexylmandelat,1062,good,english,,ChEBI
4-Diethylamino-2-butynyl alpha-phenylcyclohexaneglycolate,1062,good,english,,ChEBI
Oxibutinina,1062,good,spanish,inn,ChEBI (WHO MedNet)
Oxybutynin,1062,good,english,inn/usan,ChEBI
Oxybutynine,1062,good,french,inn,ChEBI (WHO MedNet)
Oxybutyninum,1062,good,latin,inn,ChEBI (WHO MedNet)
Acetophenazina,1063,good,spanish,inn,
Acetophenazine,1063,good,english,inn,ChEBI
Acetophenazinum,1063,good,latin,inn,
(±)-isoprenaline,1064,good,english,,
(±)-isoproterenol,1064,good,english,,
"1-(3,4-dihydroxyphenyl)-2-(isopropylamino)ethanol",1064,good,english,,ChEBI
"1-(3,4-dihydroxyphenyl)-2-isopropylaminoethanol",1064,good,english,,ChEBI
"3,4-dihydroxy-α-[(isopropylamino)methyl]benzyl alcohol",1064,good,english,,ChEBI
Isoprenalina,1064,good,spanish,inn,ChemIDplus
Isoprenaline,1064,good,english,inn,ChEBI
Isoprénaline,1064,good,french,inn,
Isoprenalinum,1064,good,latin,inn,ChEBI
Isopropyl noradrenaline,1064,good,english,,
Isoproterenol,1064,good,english,usan,
N-isopropyl-β-dihydroxyphenyl-β-hydroxyethylamine,1064,good,english,,
N-Isopropylnoradrenaline,1064,good,english,,
N-Isopropylnorepinephrine,1064,good,english,,
α-(isopropylaminomethyl)protocatechuyl alcohol,1064,good,english,,
5-methoxy-N-acetyltryptamine,1065,good,english,,
Melatonin,1065,good,english,,ChEBI
Melatonina,1065,good,spanish,,
Mélatonine,1065,good,french,,
N-[2-(5-methoxyindol-3-yl)ethyl]acetamide,1065,good,english,,
N-Acetyl-5-methoxytryptamine,1065,good,english,,
Cefditoren,1066,good,english,inn,UNII
Cefditoreno,1066,good,spanish,,
1-cyclohexyl-3-({p-[2-(5-methylpyrazinecarboxamido)ethyl]phenyl}sulfonyl)urea,1067,good,english,,ChEBI
Glipizida,1067,good,spanish,inn,
Glipizide,1067,good,english/french,inn/usan/usp,UNII
Glipizidum,1067,good,latin,inn,
N-{4-[β-(5-methylpyrazine-2-carboxamido)ethyl]benzenesulphonyl}-N'-cyclohexylurea,1067,good,english,,ChEBI
"1,3-dihydro-7-nitro-5-(2-chlorophenyl)-2H-1,4.benzodiazepin-2-one",1068,good,english,,ChEBI
"5-(2-chloro-phenyl)-7-nitro-1,3-dihydro-benzo[e][1,4]diazepin-2-one",1068,good,english,,ChEBI
"5-(2-chlorophenyl)-7-nitro-1H-benzo[e][1,4]diazepin-2(3H)-one",1068,good,english,,ChEBI
"5-(o-chlorophenyl)-7-nitro-1,3-dihydro-2H-1,4-benzodiazepin-2-one",1068,good,english,,ChEBI
Clonazepam,1068,good,english,inn/jan/usan/usp,ChEBI
Clonazepamum,1068,good,latin,inn,ChEBI (ChemIDplus)
(2-dimethylamino-2-methyl)ethyl-N-dibenzoparathiazine,1069,good,english,,
10-(2-Dimethylaminopropyl)phenothiazine,1069,good,english,,
10-[2-(dimethylamino)propyl]phenothiazine,1069,good,english,,ChEBI
N-(2'-dimethylamino-2'-methyl)ethylphenothiazine,1069,good,english,,ChEBI
"N,N,alpha-trimethyl-10H-phenothiazine-10-ethanamine",1069,good,english,,ChEBI
"N,N,α-trimethyl-10H-phenothiazine-10-ethanamine",1069,good,english,,
Proazamine,1069,good,english,,ChEBI (ChemIDplus)
Prometazina,1069,good,spanish,inn,ChEBI
Promethazine,1069,good,english,inn/jan,ChEBI
Promethazinum,1069,good,latin,inn,ChEBI
Anti-tetany substance 10,1070,good,english,,
Dihidrotaquisterol,1070,good,spanish,inn,ChEBI
Dihydrotachysterol,1070,good,english,inn/jan/usp,UNII
Dihydrotachysterolum,1070,good,latin,inn,ChEBI
Mequitazina,1071,good,spanish,inn,
Mequitazine,1071,good,english,inn/ban/jan/dcf,UNII
Mequitazinum,1071,good,latin,inn,
Atazanavir,1072,good,english,inn,UNII
Atazanavirum,1072,good,latin,inn,ChEBI
ATZ,1072,good,english,,ChEBI (ChemIDplus)
2-F-ARAA,1073,good,english,,
2-fluoro ARA-A,1073,good,english,,
Fludarabina,1073,good,spanish,,
Fludarabine,1073,good,english,inn,UNII
Fludarabinum,1073,good,latin,,
Perhexilene,1074,good,english,,ChEBI (NIST Chemistry WebBook)
Perhexilina,1074,good,spanish,inn,
Perhexiline,1074,good,english,inn/ban,ChEBI
Perhexilinum,1074,good,latin,inn,
"2-(benzhydryloxy)-N,N-dimethylethylamine",1075,good,english,,ChEBI
"2-diphenylmethoxy-N,N-demthylethanamine",1075,good,english,,ChEBI (ChEBI)
Difenhidramina,1075,good,spanish,inn,ChemIDplus
Diphenhydramine,1075,good,english,inn/jan,UNII
Diphenhydraminum,1075,good,latin,inn,ChEBI
"N-(2-(diphenylmethoxy)ethyl)-N,N-dimethylamine",1075,good,english,,ChEBI
O-benzhydryldimethylaminoethanol,1075,good,english,,ChEBI (ChEBI)
α-(2-dimethylaminoethoxy)diphenylmethane,1075,good,english,,ChEBI
β-dimethylaminoethanol diphenylmethyl ether,1075,good,english,,ChEBI
β-dimethylaminoethyl benzhydryl ether,1075,good,english,,
Atorvastatin,1076,good,english,inn,UNII
atorvastatina,1076,good,spanish,inn,
atorvastatine,1076,good,french,inn,
atorvastatinum,1076,good,latin,inn,
(1-hydroxy-ethylidene)diphosphonic acid,1077,good,english,,
(1-Hydroxyethylene)diphosphonic acid,1077,good,english,,ChEBI
(1-Hydroxyethylidene)bis(phosphonic acid),1077,good,english,,ChEBI
(1-Hydroxyethylidene)bisphosphonic acid,1077,good,english,,ChEBI
(1-Hydroxyethylidene)diphosphonic acid,1077,good,english,,ChEBI
(Hydroxyethylidene)diphosphonic acid,1077,good,english,,ChEBI
"1-Hydroxy-1,1-diphosphonoethane",1077,good,english,,ChEBI
"1-hydroxyethane 1,1-diphosphonic acid",1077,good,english,,
"1-Hydroxyethane-1,1-bisphosphonic acid",1077,good,english,,ChEBI
"1-Hydroxyethane-1,1-diphosphonate",1077,good,english,,ChEBI
"1-Hydroxyethane-1,1-diphosphonic acid",1077,good,english,,ChEBI
1-Hydroxyethanediphosphonic acid,1077,good,english,,ChEBI
"1-Hydroxyethylidene-1,1-bisphosphonate",1077,good,english,,ChEBI
"1-Hydroxyethylidene-1,1-diphosphonic acid",1077,good,english,,ChEBI
"1,1,1-Ethanetriol diphosphonate",1077,good,english,,ChEBI
Acetodiphosphonic acid,1077,good,english,,ChEBI (DrugBank)
acide étidronique,1077,good,french,inn,ChEBI (DrugBank)
ácido etidrónico,1077,good,spanish,inn,ChEBI (DrugBank)
acidum etidronicum,1077,good,latin,inn,ChEBI (DrugBank)
EHDP,1077,good,english,,ChEBI (DrugBank)
"Ethane-1-hydroxy-1,1-bisphosphonic acid",1077,good,english,,ChEBI
"Ethane-1-hydroxy-1,1-diphosphonate",1077,good,english,,ChEBI
"Ethane-1-hydroxy-1,1-diphosphonic acid",1077,good,english,,ChEBI
Etidronate,1077,good,english,,
Etidronic acid,1077,good,english,inn/usan,UNII
Etidronsäure,1077,good,german,,ChEBI (DrugBank)
HEDP,1077,good,english,,ChEBI (DrugBank)
Hydroxyethanediphosphonic acid,1077,good,english,,ChEBI (DrugBank)
Oxyethylidenediphosphonic acid,1077,good,english,,ChEBI (DrugBank)
"(3β,5β,12β)-3-{[β-D-glucopyranosyl-(1→4)-2,6-dideoxy-β-D-ribo-hexopyranosyl-(1→4)-2,6-dideoxy-β-D-ribo-hexopyranosyl-(1→4)-2,6-dideoxy-β-D-ribo-hexopyranosyl]oxy}-12,14-dihydroxycard-20(22)-enolide",1078,good,english,,ChEBI
"3-[(O-β-D-glucopyranosyl-(1→4)-O-2,6-dideoxy-β-D-ribo-hexopyranosyl-(1→4)-O-2,6-dideoxy-β-D-ribo-hexopyranosyl-(1→4)-O-2,6-dideoxy-β-D-ribo-hexopyranosyl)oxy]-12,14-dihydroxy-3β,5β,12β-card-20(22)-enolide",1078,good,english,,ChEBI
Deacetyllanatoside C,1078,good,english,,ChEBI (ChemIDplus)
Desacetyllanatoside C,1078,good,english,,ChEBI
Deslanoside,1078,good,english,inn/jan/usp,UNII
Deslanosido,1078,good,spanish,inn,ChemIDplus
Deslanosidum,1078,good,latin,inn,ChEBI
Glucodigoxin,1078,good,english,,ChEBI
1-(((5-Methoxyindol-3-yl)methylene)amino)-3-pentylguanidine,1079,good,english,,
Tegaserod,1079,good,english/spanish,inn/usan,UNII
Tégasérod,1079,good,french,inn,ChEBI
Tegaserodum,1079,good,latin,inn,
4-Amino-5-hexenoic acid,1080,good,english,,ChEBI
Gamma vinyl GABA,1080,good,english,,
gamma-Vinyl GABA,1080,good,english,,
gamma-Vinyl-gamma-aminobutyric acid,1080,good,english,,ChEBI
GVG,1080,good,english,,
Vigabatrin,1080,good,english,inn/ban/jan/usan,UNII
Vigabatrina,1080,good,spanish,inn,
Vigabatrine,1080,good,french,inn,
Vigabatrinum,1080,good,latin,inn,
Vinyl gamma-aminobutyric acid,1080,good,english,,
"1-(3-Cyano-3,3-diphenylpropyl)-4-phenyl-isonipecotic acid ethyl ester",1081,good,english,,ChEBI
"2,2-Diphenyl-4-(4-carbethoxy-4-phenylpiperidino)butyronitrile",1081,good,english,,ChEBI
Difenossilato,1081,good,italian,dcit,
Difenoxilato,1081,good,spanish,inn,
Diphenoxylate,1081,good,english,inn,UNII
Diphenoxylatum,1081,good,latin,inn,
"Ethyl 1-(3-cyano-3,3-diphenylpropyl)-4-phenyl-4-piperidinecarboxylate",1081,good,english,,ChEBI
"Ethyl 1-(3-cyano-3,3-diphenylpropyl)-4-phenylisonipecotate",1081,good,english,,ChEBI
"2,4-diguanidino-3,5,6-trihydroxycyclohexyl 5-deoxy-2-O-(2-deoxy-2-methylamino-alpha-L-glucopyranosyl)-3-C-formyl-beta-L-lyxopentanofuranoside",1082,good,english,,ChEBI
Estreptomicina,1082,good,spanish,,
Streptomicina,1082,good,italian,,
Streptomycin,1082,good,english,inn,UNII
Streptomyzin,1082,good,german,,
(-)-Tetrahydrolipstatin,1083,good,english,,
Orlipastat,1083,good,english,,
Orlipastatum,1083,good,latin,inn,
Orlistat,1083,good,english/spanish,inn/ban/jan/usan,ChEBI
Tetrahydrolipstatin,1083,good,english,,
"1-(2-Ethoxy-ethyl)-2-(4-methyl-[1,4]diazepan-1-yl)-1H-benzoimidazole",1084,good,english,,ChEBI
"1-(2-ethoxyethyl)-2-(hexahydro-4-methyl-1H-1,4-diazepin-1-yl)benzimidazole",1084,good,english,,ChEBI
1-[2-(ethoxy)ethyl]-2-(4-methyl-1-homopiperazinyl)benzimidazole,1084,good,english,,ChEBI
Emedastina,1084,good,spanish,inn,ChEBI (ChemIDplus)
Emedastine,1084,good,english,inn,UNII
Emedastinum,1084,good,latin,inn,ChEBI (ChemIDplus)
Pilocarpina,1085,good,spanish,,
Pilocarpine,1085,good,english,ban/jan/usp,ChEBI
4-aminobenzoic acid ethyl ester,1086,good,english,,
Amben ethyl ester,1086,good,english,,
Benzocaina,1086,good,spanish,inn,ChemIDplus
Benzocaine,1086,good,english,inn/usp,ChEBI
Benzocainum,1086,good,latin,inn,ChEBI
Ethyl aminobenzoate,1086,good,english,,
Ethyl p-aminobenzoate,1086,good,english,,
Ethyl p-aminophenylcarboxylate,1086,good,english,,
p-(Ethoxycarbonyl)aniline,1086,good,english,,
p-Carbethoxyaniline,1086,good,english,,
p-Ethoxycarboxylic aniline,1086,good,english,,
6-Methoxy-8-(4-amino-1-methylbutylamino)quinoline,1087,good,english,,ChEBI
8-((4-Amino-1-methylbutyl)amino)-6-methoxyquinoline,1087,good,english,,ChEBI
8-(4-Amino-1-methylbutylamino)-6-methoxyquinoline,1087,good,english,,ChEBI
Primachin,1087,good,english,,ChEBI
Primachina,1087,good,italian,,
Primachinum,1087,good,latin,,ChEBI
Primaquin,1087,good,english,,ChEBI
Primaquina,1087,good,spanish,inn,ChemIDplus
Primaquine,1087,good,english,inn,UNII
Primaquinum,1087,good,latin,inn,ChEBI
Iloprost,1088,good,english,inn/usan,UNII
"(3β,16β,17α,18β,20α)-17-methoxy-18-[(3,4,5-trimethoxybenzoyl)oxy]yohimban-16-carboxylic acid methyl ester",1089,good,english,,ChEBI
11-demethoxyreserpine,1089,good,english,,
11-desmethoxyreserpine,1089,good,english,,
Canescine,1089,good,english,,
Deserpidina,1089,good,spanish,inn,
Deserpidine,1089,good,english,inn,ChEBI
Deserpidinum,1089,good,latin,inn,
Raunormine,1089,good,english,,
Recanescine,1089,good,english,,ChEBI
Pentolineum,1090,good,english,,ChEBI
Pentolonium,1090,good,english,,
Pentolonum,1090,good,english,,
(4-tert-Butyl-benzyl)-methyl-naphthalen-1-ylmethyl-amine,1091,good,english,,ChEBI
(4-tert-butylphenyl)-N-methyl-N-(naphthalen-1-ylmethyl)methanamine,1091,good,english,,ChEBI
4-tert-butylbenzyl(methyl)(1-naphthalenemethyl)amine,1091,good,english,,ChEBI
Butenafina,1091,good,spanish,inn,ChEBI (ChemIDplus)
Butenafine,1091,good,english,inn,ChEBI (ChemIDplus)
Butenafinum,1091,good,latin,inn,ChEBI (ChemIDplus)
N-(p-tert-butylbenzyl)-N-methyl-1-naphthalenemethylamine,1091,good,english,,ChEBI
"3-(α-L-rhamnopyranosyloxy)-1β,5β,11α,14,19-pentahydroxy-5β-card-20(22)-enolide",1092,good,english,,ChEBI
G-Strophanthin,1092,good,english,,
Ouabagenin L-Rhamnoside,1092,good,english,,
Ouabagenin-L-rhamnosid,1092,good,german,,ChEBI
Ouabain anhydrous,1092,good,english,,ChEBI
Ouabaine,1092,good,english,,
Oubain,1092,good,english,,ChEBI
Dimethyl sulfoxide,1093,good,english,inn/usan/usp,ChEBI
Dimethyl sulfur oxide,1093,good,english,,ChEBI (NIST Chemistry WebBook)
Dimethyl sulphoxide,1093,good,english,,ChEBI (ChemIDplus)
Dimethyli sulfoxidum,1093,good,latin,inn,ChEBI
Dimethylsulfoxid,1093,good,german,,ChEBI
Diméthylsulfoxyde,1093,good,french,inn,
Dimetil sulfóxido,1093,good,spanish,inn,ChemIDplus
DMSO,1093,good,english,,
Methylsulfinylmethane,1093,good,english,,ChEBI (ChemIDplus)
S(O)Me2,1093,good,english,,ChEBI
Sulfinylbis(methane),1093,good,english,,ChEBI
(−)-(S)-hesperetin,1094,good,english,,ChEBI
(−)-hesperetin,1094,good,english,,ChEBI
"(S)-2,3-dihydro-5,7-dihydroxy-2-(3-hydroxy-4-methoxyphenyl)-4H-1-benzopyran-4-one",1094,good,english,,ChEBI
"3',5,7-Trihydroxy-4'-methoxyflavanone",1094,good,english,,ChEBI
Hesperitin,1094,good,english,,
Fluvastatin,1095,good,english,inn,UNII
fluvastatina,1095,good,spanish,,
fluvastatine,1095,good,french,,
fluvastatinum,1095,good,latin,,
5-Methyl-N-(4-(trifluoromethyl)phenyl)-4-isoxazolecarboxamide,1097,good,english,,ChEBI
5-Methylisoxazole-4-carboxylic acid (4-trifluoromethyl)anilide,1097,good,english,,ChEBI
"alpha,alpha,alpha-Trifluoro-5-methyl-4-isoxazolecarboxy-p-toluidide",1097,good,english,,ChEBI
Leflunomida,1097,good,spanish,inn,WHO MedNet
Léflunomide,1097,good,french,inn,
Leflunomide,1097,good,english,inn/jan/usan/usp,ChEBI
Leflunomidum,1097,good,latin,inn,
"(3R,5S,6E)-7-(4-(4-fluorophenyl)-6-(1-methylethyl)-2-(ethyl(methylsulfonyl)amino)-5-pyrimidinyl)-3,5-dihydroxy-6-heptenoic acid",1098,good,english,,ChEBI
"(3R,5S,6E)-7-{4-(4-fluorophenyl)-6-isopropyl-2-[methyl(methylsulfonyl)amino]pyrimidin-5-yl}-3,5-dihydroxyhept-6-enoic acid",1098,good,english,,ChEBI
Rosuvastatin,1098,good,english,inn,UNII
Rosuvastatina,1098,good,spanish,,
5-FC,1099,good,english,,ChEBI (KEGG DRUG)
5-Fluorocystosine,1099,good,english,,ChEBI (ChemIDplus)
5-Fluorocytosine,1099,good,english,,ChEBI (ChemIDplus)
flucytosina,1099,good,spanish,inn,WHO MedNet
Flucytosine,1099,good,english/french,inn/jan/usan/usp,ChEBI
Flucytosinum,1099,good,latin,,
Pimozida,1100,good,spanish,inn,ChEBI (ChemIDplus)
Pimozide,1100,good,english/french,inn/jan/usan/usp,ChEBI
Pimozidum,1100,good,latin,inn,ChEBI (ChemIDplus)
"(1-(5-Deoxy-beta-D-ribofuranosyl)-5-fluoro-1,2-dihydro-2-oxo-4-pyrimidinyl)-carbamic acid pentyl ester",1101,good,english,,ChEBI
Capecitabin,1101,good,german,,ChEBI
Capecitabina,1101,good,spanish,inn,ChEBI
Capécitabine,1101,good,french,inn,
Capecitabine,1101,good,english,inn/jan/usan/usp,UNII
Capecitabinum,1101,good,latin,inn,ChEBI
"Pentyl [1-(5-deoxy-β-D-ribofuranosyl)-5-fluoro-2-oxo-1,2-dihydropyrimidin-4-yl]carbamate",1101,good,english,,ChEBI
"pentyl 1-(5-deoxy-β-D-ribofuranosyl)-5-fluoro-1,2-dihydro-2-oxo-4-pyrimidinecarbamate",1101,good,english,,ChEBI
